,original,pre_processed_text,time_parsed,sentiments,predictions
150, @Tommy brown  Thank you so much. I just found his trading community platform on the internet,emmy brown thank you so much. i just found his trading community platform on the internet,1685350116.313759,{'POSITIVE': 0.972069501876831},miscellaneous
151,"Yes, please do a video on circadian fasting. As a mom of 4 girls, 40, a spouse who is an RN, I don't have free time to work out...yet. Fasting almost comes the easiest.","yes, please do a video on circadian fasting. a a mom of 4 girls, 40, a spouse who is an right now, i do not have free time to work out.yet. fasting almost come the easiest.",1685090916.622297,{'NEUTRAL': 0.5115485787391663},miscellaneous
152,"I did OMAD (one meal a day) for over a year and lost about 30 pounds. Ate whatever I wanted to during that eating window. It’s saved me so much time fixing food, figuring out what to eat, etc. I do 18:6 now and love it. Losing or maintaining weight, depending on what I eat.  Game changer for me!","i did mad (one meal a day) for over a year and lost about 30 pounds. ate whatever i wanted to during that eating window. it s saved me so much time fixing food, figuring out what to eat, etc. i do now and love it. losing or maintaining weight, depending on what i eat. game changer for me!",1685090916.624604,{'POSITIVE': 0.9732539057731628},miscellaneous
153,"I started doing IF back in 2021 not because of any weight-loss, but because I'd (properly) made a point to learn all about what the natural processes are for the body, when it's not eating, and also what the benefits were to the processes that occur when we sleep, and how they're improved by again, not digesting.  I've never treated IF like a diet, and never will, and only do 12-14 hours of fasting.  But I can say, from my own experience, that the noticeable benefits (never mind what's going on that I can't see) are pretty striking.  From better sleep to less lethargy during the day, to less inflammation (noticeable as overall body swelling has gone down), to fat that I apparently had on the back of my neck (like what?) that's now gone, to my eyes being clearer.  I will say that to get the most benefit from it, we really need to make sure we're eating properly most of the time, which honestly should be a priority anyway.  If you're eating 4 big mac meal deals per day, during your 8-12 hour eating window, you're still going to be doing a lot of damage to your body.  And the opposite is also true, particularly if your eating window is very short--you MUST get in the proper amount of food, especially protein, or else you're on the road to permanent metabolic damage, which you REALLY don't want.  I could never do less than a 10-hour eating window, because I can't possibly eat enough (mostly) nutritious food in less time.","i started doing if back in 2021 not because of any weight loss, but because i would (properly) made a point to learn all about what the natural process are for the body, when it is not eating, and also what the benefit were to the process that occur when we sleep, and how they are improved by again, not directing. i have never treated if like a diet, and never will, and only do 12 14 hour of fasting. but i can say, from my own experience, that the noticeable benefit (never mind what is going on that i cannot see) are pretty striking. from better sleep to le lethargy during the day, to le inflammation (noticeable a overall body swelling ha gone down), to fat that i apparently had on the back of my neck (like what ) that is now gone, to my eye being clearer. i will say that to get the most benefit from it, we really need to make sure we are eating properly most of the time, which honestly should be a priority anyway. if you are eating 4 big mac meal deal per day, during your 8 12 hour eating window, you are still going to be doing a lot of damage to your body. and the opposite is also true, particularly if your eating window is very short you must get in the proper amount of food, especially protein, or else you are on the road to permanent metabolic damage, which you really do not want. i could never do le than a 10 hour eating window, because i cannot possibly eat enough (mostly) nutritious food in le time.",1685090916.626531,{'NEGATIVE': 0.45626622438430786},miscellaneous
154,People should follow a Monks diet if they want longevity and health.,people should follow a monk diet if they want longevity and health.,1685090916.628539,{'NEUTRAL': 0.6468912959098816},miscellaneous
155,"Intermittent fasting puts fast food places out of business and keeps cookies and junk food out of consumers hands. When you have a small window to eat, you’re not going to waste it on empty calories, like ice cream, soda, and Doritos. Ijs","intermittent fasting put fast food place out of business and keep cooky and junk food out of consumer hands. when you have a small window to eat, you re not going to waste it on empty calories, like ice cream, soda, and doris. ijs",1685090916.630499,{'NEUTRAL': 0.4837813973426819},miscellaneous
156,"When our ancestors had to hunt for their food and went days without eating when they didn’t kill anything, they were not obese. 

Being obese is equivalent to having stage four cancer.","when our ancestor had to hunt for their food and went day without eating when they didn t kill anything, they were not obese. being obese is equivalent to having stage four cancer.",1685090916.632517,{'NEGATIVE': 0.6983030438423157},miscellaneous
157,Intermittent fasting has helped me loose 8lbs and keep it off. The weight fell off after only 31 days.,intermittent fasting ha helped me loose 8lbs and keep it off. the weight fell off after only 31 days.,1685090916.634388,{'POSITIVE': 0.7976424098014832},miscellaneous
158,"Glad you gave it another go, Matt.

What is truly amazing about Intermittent Fasting is that, as flexible as it can be in regards to circumstance, it encourages one to be very intentional about what will feed oneself in the present day.

As such, it will lend itself marvellously to most health and nutritional goals.

The monks had it right.

Almost like a cheat code in this game called life.

🥩🥦🕔","glad you gave it another go, matt. what is truly amazing about intermittent fasting is that, a flexible a it can be in regard to circumstance, it encourages one to be very intentional about what will feed oneself in the present day. a such, it will lend itself marvellous to most health and nutritional goals. the monk had it right. almost like a cheat code in this game called life.",1685090916.636431,{'POSITIVE': 0.9510853290557861},miscellaneous
159,I often skip breakfast but I never thought to make a video about it.  When I was younger skipping breakfast was considered to be bad. Happy to hear its now considered good. 😀,i often skip breakfast but i never thought to make a video about it. when i wa younger skipping breakfast wa considered to be bad. happy to hear it now considered good.,1685090916.638427,{'NEUTRAL': 0.45821574330329895},miscellaneous
160,I literally do this because it’s cheap,i literally do this because it s cheap,1685090916.640401,{'POSITIVE': 0.543969452381134},miscellaneous
161,Try grounding yourself for a month or use barefoot shoes for a month. Pretty groundbreaking methods ;),try grounding yourself for a month or use barefoot shoe for a month. pretty groundbreaking method ),1685090916.642287,{'POSITIVE': 0.5576167702674866},miscellaneous
162,"I remember watching a video a while back that said even coffee could interrupt intermittent fasting and I wonder if that is more of a psychological effect rather than physical since it is essentially zero calories. For example, you drink the coffee, your body thinks you are going to give it nutrients, and starts to feel hunger or cravings vs. maybe starting some of the natural processes, i.e. salivation, etc., only to not be fulfilled until hours later. Just a thought","i remember watching a video a while back that said even coffee could interrupt intermittent fasting and i wonder if that is more of a psychological effect rather than physical since it is essentially zero calories. for example, you drink the coffee, your body think you are going to give it nutrients, and start to feel hunger or carving vs. maybe starting some of the natural processes, i.e. salvation, etc., only to not be fulfilled until hour later. just a thought",1685090916.644148,{'NEUTRAL': 0.5955168008804321},miscellaneous
163,There is no rule against protein. Its like the first failure where you shoehorned weird assumptions into it and then critisised it. If vegans can do it you can do it.,there is no rule against protein. it like the first failure where you shoehorned weird assumption into it and then criticised it. if vega can do it you can do it.,1685090916.646133,{'NEGATIVE': 0.5461503863334656},miscellaneous
164,"Thank you for this. This shows and highlights how damaging these talkshows and misinformation is spread in the public. 
These general sweeping statements exclude the individual experience. 
These challenges give you the opportunity to examine how you operate in your own life and how and why you want to take on these challenges in the first place. Often changes like these come from a place of frustration, and desperation for something new where diet has failed them.  I love your approach stemming from curiosity rather than expecting a 'quick fix'  that we all often look for. 

Keep it up! I look forward to each video and feel inspired to be continue to be curious in my own life.","thank you for this. this show and highlight how damaging these talkshows and misinformation is spread in the public. these general sweeping statement exclude the individual experience. these challenge give you the opportunity to examine how you operate in your own life and how and why you want to take on these challenge in the first place. often change like these come from a place of frustration, and desperation for something new where diet ha failed them. i love your approach stemming from curiosity rather than expecting a 'quick fix' that we all often look for. keep it up! i look forward to each video and feel inspired to be continue to be curious in my own life.",1685090916.648004,{'POSITIVE': 0.7839776873588562},miscellaneous
165,people that promote coffee are just misinformed.  cut it completely.  replace it with a simple no calorie green drink.,people that promote coffee are just misinformed. cut it completely. replace it with a simple no calorie green drink.,1685090916.649879,{'NEGATIVE': 0.7119649052619934},miscellaneous
166,cut the coffee.  problem solved.,cut the coffee. problem solved.,1685090916.651748,{'POSITIVE': 0.49360790848731995},others
167,Can you do a video about your favorite podcasts? :),can you do a video about your favorite podcasts :),1685090916.653605,{'POSITIVE': 0.8174079060554504},miscellaneous
168,Matt is basically our “try” our test subject for all things humans should do or not do lol let’s go Matt! Keep on making these dope videos 🎉,matt is basically our try our test subject for all thing human should do or not do lol let s go matt! keep on making these dope video,1685090916.655554,{'POSITIVE': 0.8216217160224915},miscellaneous
169,I started 16:8 fasting a week ago… The best thing I've noticed is that I am more grateful and conscious about the food I eat.,i started fasting a week ago the best thing i have noticed is that i am more grateful and conscious about the food i eat.,1685090916.657516,{'POSITIVE': 0.9816981554031372},miscellaneous
170,"If you want to feel better try eating some fucking vegetables, if what you ate in this video is indicative of your normal diet it's fucking terrible.","if you want to feel better try eating some fucking vegetables, if what you ate in this video is indicative of your normal diet it is fucking terrible.",1685090916.659386,{'NEGATIVE': 0.9613478779792786},miscellaneous
171,"It's amazing how people try to catch shortcuts when they just need themselves to achieve a goal. If you want to achieve a physique you've never achieved in your life, do what you've never done before. It's difficult, but not impossible.","it is amazing how people try to catch shortcut when they just need themselves to achieve a goal. if you want to achieve a physique you have never achieved in your life, do what you have never done before. it is difficult, but not impossible.",1685090917.167729,{'NEUTRAL': 0.42141225934028625},miscellaneous
172,I'm glad you've had more success this time! I've been fasting 18months and will never stop. I'm surprised you didn't mention autophagy which is one of the biggest benefits. I have so much less inflammation and my hay fever (seasonal allergies) that i've had all my life has pretty much gone away. Some other resources you might find useful are Gin Stevens and Tim Spector.,i am glad you have had more success this time! i have been fasting 18months and will never stop. i am surprised you did not mention autophagy which is one of the biggest benefits. i have so much le inflammation and my hay fever (seasonal allergies) that i have had all my life ha pretty much gone away. some other resource you might find useful are gin stevens and tim sector.,1685090917.169663,{'POSITIVE': 0.9149274230003357},miscellaneous
173,How’s it intermittent if you’re fasting everyday? 🤔,how s it intermittent if you re fasting everyday,1685090917.171645,{'NEUTRAL': 0.7570399641990662},interrogative
174,"Last month FIDIAS he didn’t Eat Food For 30 Days.

https://www.youtube.com/watch?v=p_rkL9Wv1Ok",last month idea he didn t eat food for 30 days. https: ww.youtube.com watch v p rkl9wv1ok,1685090917.17354,{'NEUTRAL': 0.5213565230369568},miscellaneous
175,New hoodie.. Interesting :D,new rookie. interesting,1685090917.175451,{'POSITIVE': 0.8337481617927551},others
176,"After trying intuitive eating, I've found that my body naturally wants to wait about 12 hours between dinner and breakfast. I sleep for 8 hours every night and, to feel my best, I wait at least 3 hours between eating and going to sleep. I take some medication in the morning, for a chronic illness I have, and I have to take it on an empty stomach and wait a minimum of 30 minutes from taking the medication until I intake anything other than water. This comes out to a very natural 12/12 eating window and after accepting and working with it, I've felt so much better. I've lost some weight too, but that was never really the goal, it just happened.","after trying intuitive eating, i have found that my body naturally want to wait about 12 hour between dinner and breakfast. i sleep for 8 hour every night and, to feel my best, i wait at least 3 hour between eating and going to sleep. i take some medication in the morning, for a chronic illness i have, and i have to take it on an empty stomach and wait a minimum of 30 minute from taking the medication until i intake anything other than water. this come out to a very natural 12 12 eating window and after accepting and working with it, i have felt so much better. i have lost some weight too, but that wa never really the goal, it just happened.",1685090917.177502,{'POSITIVE': 0.7886515855789185},miscellaneous
177,"Thanks for your helpful video, I did this for 5 months and I lost 5 Kg, but I usually ended my eating at 6:00 PM and began it at 10:00 AM. Now I have changed my plan and it is among 3:00 PM to 11:00 PM and it does not work as well as before.","thanks for your helpful video, i did this for 5 month and i lost 5 kg, but i usually ended my eating at pm and began it at 100 am. now i have changed my plan and it is among 30 pm to 110 pm and it doe not work a well a before.",1685090917.179434,{'NEUTRAL': 0.4849705398082733},miscellaneous
178,A full year!?!?!?,a full year! ! !,1685090917.181419,{'POSITIVE': 0.5509698987007141},miscellaneous
179,I liked this honest review. Thanks!,i liked this honest review. thanks!,1685090917.18329,{'POSITIVE': 0.9754219055175781},others
180,"The modern literature about it (I'm a Biologist and have a PhD on Human Nutrition, Dietary Patterns and Public Health) agrees that 18h doesn't really constitute a fast, and what you're doing should be called Time Restrictive Feeding. Dr Peter Attia and Andrew Huberman to mention two very popular science educators, content creators and scientists themselves have spoken quite a bit about it and why being clear on this distinction and misnomer matters, although for all intents and purposes, the main impact of this TRF is a reduced caloric intake and you reflected that correctly in your conclusions.","the modern literature about it (i am a biologist and have a phd on human nutrition, dietary pattern and public health) agrees that 18h doe not really constitute a fast, and what you are doing should be called time restrictive feeding. dr peter attic and andrew superman to mention two very popular science educators, content creator and scientist themselves have spoken quite a bit about it and why being clear on this distinction and misnomer matters, although for all intent and purposes, the main impact of this try is a reduced calorie intake and you reflected that correctly in your conclusions.",1685090917.185154,{'NEUTRAL': 0.5488572716712952},corrective
181,What podcast app was that you were using Matt?,what podcast app wa that you were using matt,1685090917.186983,{'NEUTRAL': 0.9218698143959045},interrogative
182,"I think we are all different and what works for one does not work for the next person. If you don‘t feel good with something, you‘re body is telling you something.","i think we are all different and what work for one doe not work for the next person. if you don t feel good with something, you re body is telling you something.",1685090917.188958,{'NEGATIVE': 0.5953813195228577},miscellaneous
183,Why hurting ourselves in the name of fasting... exercise regularly eat what u eat normal. These fasting techniques  leads to carve more for foods or don't feel like eating.. do what u feel happy.. enjoy this life instead worrying  :),why hurting ourselves in the name of fasting. exercise regularly eat what you eat normal. these fasting technique lead to carve more for food or do not feel like eating. do what you feel happy. enjoy this life instead worrying :),1685090917.190844,{'NEUTRAL': 0.4699559211730957},miscellaneous
184,"Great video, great opinion! I want more videos about the topic =) Thanks for hsaring Matt","great video, great opinion! i want more video about the topic ) thanks for hearing matt",1685090917.192727,{'POSITIVE': 0.9839648008346558},others
185,"I remain committed to basic, common sense habits. Eat less, exercise more.","i remain committed to basic, common sense habits. eat less, exercise more.",1685090917.194616,{'NEUTRAL': 0.5536372065544128},miscellaneous
186,"I just did a 24-hour intermittent fasting day and thought this would be super hard, but in the end it was kinda nice. Now I'm thinking about adding one or two days a week of 24-hour intermittent fasting. It's good to challenge ourselves and not have to be thinking about food all day.","i just did a 24 hour intermittent fasting day and thought this would be super hard, but in the end it wa kind of nice. now i am thinking about adding one or two day a week of 24 hour intermittent fasting. it is good to challenge ourselves and not have to be thinking about food all day.",1685090917.196507,{'POSITIVE': 0.8327794075012207},miscellaneous
187,I have actually GAINED weight through intermittent fasting which is a good thing because I am underweight. I just eat a lot during my eating window.,i have actually gained weight through intermittent fasting which is a good thing because i am underweight. i just eat a lot during my eating window.,1685090917.198385,{'POSITIVE': 0.9294926524162292},miscellaneous
188,It really depends on your routine and schedule also. If u work early in morning u kind of crave food by like 9am lol. But I go to gym around 10am then drink a shake around 12pm. And stop eating around 6:30pm. Some benifits can be sleep is better on empty stomach especially for me my body temp lowers I don’t get all hot anymore,it really depends on your routine and schedule also. if you work early in morning you kind of grave food by like 9am lol. but i go to gym around 10am then drink a shake around 12pm. and stop eating around pm. some benefit can be sleep is better on empty stomach especially for me my body temp lower i don t get all hot anymore,1685090917.200254,{'POSITIVE': 0.6260124444961548},miscellaneous
189,"This is really really bad for people with migraines. Has to do with blood sugar levels, drops and sudden spikes that trigger migraines. Just in case anyone is interested and wondering. I personally gained weight and messed up my metabolism with this kind of irregular food intake and started losing weight the moment I returned to a regular 3 meal schedule...","this is really really bad for people with migraine. ha to do with blood sugar levels, drop and sudden spike that trigger migraine. just in case anyone is interested and wondering. i personally gained weight and messed up my metabolism with this kind of irregular food intake and started losing weight the moment i returned to a regular 3 meal schedule.",1685090917.202138,{'NEGATIVE': 0.9410321116447449},miscellaneous
190,What smart scale do you use?,what smart scale do you use,1685090917.632351,{'NEUTRAL': 0.8426567316055298},interrogative
191,did you not leave the 10:55 scene horizontally? you are doing better with your perfectionism! im proud of you 🙌,did you not leave the scene horizontally you are doing better with your perfectionism! i am proud of you,1685090917.634591,{'POSITIVE': 0.951336681842804},miscellaneous
192,Today is my birthday and my birthday resolution is to lose weight and save money by not eating too much.,today is my birthday and my birthday resolution is to lose weight and save money by not eating too much.,1685090917.636611,{'POSITIVE': 0.5832700133323669},miscellaneous
193,I am doing for 20 years,i am doing for 20 year,1685090917.643293,{'NEUTRAL': 0.8200709819793701},miscellaneous
194,"Most Muslims starts fasting at the age of between 10 and 18, I started fasting when I was 12 years old. In my country we usually fast 16 hours a day for 30 days straight in Ramadan. I think we Muslims shouldn’t look down on people of other races and religions for finding it hard. It’s easy for us cause we do it from a very young age.","most muslim start fasting at the age of between 10 and 18, i started fasting when i wa 12 year old. in my country we usually fast 16 hour a day for 30 day straight in armada. i think we muslim shouldn t look down on people of other race and religion for finding it hard. it s easy for u because we do it from a very young age.",1685090917.645341,{'NEUTRAL': 0.6941685676574707},miscellaneous
195,"Why don't you try going vegan for 30 days instead of doing something you've done before? Try something new !: ) A true challenge. And not the vegan junk food kind of vegan, but the whole food plant-based version so you would have really comparable results with your current diet : ) pleaaase ?  Thanks lovely.","why do not you try going vegan for 30 day instead of doing something you have done before try something new !: ) a true challenge. and not the vegan junk food kind of vegan, but the whole food plant based version so you would have really comparable result with your current diet : ) please thanks lovely.",1685090917.647397,{'POSITIVE': 0.8320388197898865},miscellaneous
196,"We do it every year as Muslim
Start not eating before the sunshine to the sunset 
And yeah there is on water at this time",we do it every year a muslim start not eating before the sunshine to the sunset and yeah there is on water at this time,1685090917.649408,{'NEUTRAL': 0.6128544807434082},miscellaneous
197,30 days vegan vs carnivore diet Matt!,30 day vegan v carnivore diet matt!,1685090917.65141,{'NEUTRAL': 0.771031379699707},miscellaneous
198,"Really nice and informative video! I just realized that a friend and I are both subscribed to you and we are both huge fan of the quality of your content 😊 I hope you never change, or rather, I hope you stay on the path you've been for years since I started following you 🙌","really nice and informative video! i just realized that a friend and i are both subscribed to you and we are both huge fan of the quality of your content i hope you never change, or rather, i hope you stay on the path you have been for year since i started following you",1685090917.653701,{'POSITIVE': 0.9852088689804077},miscellaneous
199,Chewing sugarless gum really helps on the first days.,chewing sugarless gum really help on the first days.,1685090917.655829,{'POSITIVE': 0.6771878004074097},miscellaneous
200,Didn't you decide to give up your phone?,did not you decide to give up your phone,1685090917.657955,{'NEUTRAL': 0.5894321203231812},miscellaneous
201,"Read the book ""Counsels on Diet and Foods"", it was written way before all this research came out. Very good on diet and the science behind the good and bad. Talks about fasting too","read the book counsel on diet and food , it wa written way before all this research came out. very good on diet and the science behind the good and bad. talk about fasting too",1685090917.659906,{'POSITIVE': 0.8711125254631042},miscellaneous
202,The sources you cite are all mainstream. You should have included a perspective on the spiritual benefits of fasting.,the source you cite are all mainstream. you should have included a perspective on the spiritual benefit of fasting.,1685090917.661878,{'NEUTRAL': 0.7784416079521179},corrective
203,"Mate, in Australia you gotta check your weight in kilos.  When in Rome... 😂","mate, in australia you got to check your weight in kills. when in rome.",1685090917.663784,{'NEUTRAL': 0.812846302986145},miscellaneous
204,"I believe that when taking a look at the studies for and against intermittent fasting, it is beneficial to look at who is sponsoring the study to see if there are any conflicts of interest. Conflicts of interest can sometimes sway the outcomes of certain studies. It is also worth a look into the benefits of autophagy in regards to fasting vs the benefits of caloric restriction.","i believe that when taking a look at the study for and against intermittent fasting, it is beneficial to look at who is sponsoring the study to see if there are any conflict of interest. conflict of interest can sometimes sway the outcome of certain studies. it is also worth a look into the benefit of autophagy in regard to fasting v the benefit of calorie restriction.",1685090917.665777,{'NEUTRAL': 0.6628708243370056},miscellaneous
205,"Im on intermittent fasting for 2+ years (and counting) and planning to never leave it. No burnout in work, much better feeling. 11am-7pm. I recommend! (also lost 20 kilos, about 35 pounds i guess)
Edit: Interesting is a part about losing muscle - because IF makes your growth hormone bigger...","i am on intermittent fasting for 2+ year (and counting) and planning to never leave it. no burnout in work, much better feeling. 11am 7pm. i recommend! (also lost 20 kills, about 35 pound i guess) edit: interesting is a part about losing muscle because if make your growth hormone bigger.",1685090917.667771,{'POSITIVE': 0.892784059047699},miscellaneous
206,"As a Muslim, I have been doing this every year for a month since 2016. Also some Muslims fast evert Monday and Thursday","a a muslim, i have been doing this every year for a month since 2016. also some muslim fast event monday and thursday",1685090917.669759,{'NEUTRAL': 0.8604070544242859},miscellaneous
207,What is the app that you are using?,what is the app that you are using,1685090917.671756,{'NEUTRAL': 0.8451722860336304},interrogative
208,"Ha, when I found the video, it said it was uploaded 18 hours ago","ha, when i found the video, it said it wa uploaded 18 hour ago",1685090917.673734,{'NEUTRAL': 0.8740242123603821},miscellaneous
209,we as muslims do it every year for 16-18 hours,we a muslim do it every year for 16 18 hour,1685090917.675737,{'NEUTRAL': 0.7588415741920471},miscellaneous
210,It’s a very personal thing- every body is different and what works for one doesn’t always work for others. I’ve been intermittent fasting for 30 years (long before it became a thing) and it works for me as long as I am getting all the nutrients I need. I’ve tried all the other trends and recommendations and none of them work like intermittent fasting. Kudos to you for trying again!,it s a very personal thing every body is different and what work for one doesn t always work for others. i ve been intermittent fasting for 30 year (long before it became a thing) and it work for me a long a i am getting all the nutrient i need. i ve tried all the other trend and recommendation and none of them work like intermittent fasting. kudos to you for trying again!,1685090918.04059,{'POSITIVE': 0.5157933831214905},miscellaneous
211,"I also tried it before and failed admirably. I love the Zero app, it's so simple and helpful. Thanks for changing my life for the better. Again.","i also tried it before and failed admirable. i love the zero app, it is so simple and helpful. thanks for changing my life for the better. again.",1685090918.04267,{'POSITIVE': 0.9759048819541931},miscellaneous
212,"In the month of May I started intermittent fasting so I watched your old video and bunch of other videos to get myself started. Now I’ll be completing 30 days soon. I’m glad you came up with this video again, it’s extremely motivating!

This video seemed so fresh! You can do this more often, revisit some of your old challenges or certain videos and share how you feel about them in 2023. 

Also, you ROCKKKKK⭐️","in the month of may i started intermittent fasting so i watched your old video and bunch of other video to get myself started. now i ll be completing 30 day soon. i m glad you came up with this video again, it s extremely motivating! this video seemed so fresh! you can do this more often, revisit some of your old challenge or certain video and share how you feel about them in 2023. also, you rock",1685090918.053544,{'POSITIVE': 0.9762102365493774},miscellaneous
213,"Whats up with them bananas @ 10:56 Matt 🤔 are they dipped in wax?

Is it to make them last longer?",what is up with them banana matt are they dipped in wax is it to make them last longer,1685004518.055447,{'NEUTRAL': 0.7417874336242676},miscellaneous
214,"What helps a lot to keep up to a fasting routine is the low carb diet, There are some days I eat because I force myself to do so.","what help a lot to keep up to a fasting routine is the low car diet, there are some day i eat because i force myself to do so.",1685004518.057192,{'POSITIVE': 0.6732974052429199},miscellaneous
215,It's like Ramadhan but not same as what we do during Ramadhan.,it is like ramadhan but not same a what we do during ramadhan.,1685004518.07343,{'NEUTRAL': 0.6001759767532349},miscellaneous
216,Maybe your tummy grumbling is your addictions?,maybe your dummy crumbling is your addiction,1685004518.087283,{'NEGATIVE': 0.8071992993354797},miscellaneous
217,This is basically the west just discovering the concept of Ramadan:),this is basically the west just discovering the concept of armada:),1685004518.089161,{'POSITIVE': 0.5984272956848145},miscellaneous
218,"Really enjoyed this one. It’s always important to remember that all diets are simply different methods to adhere to a calorie deficit. The mechanism of weight loss is the same (consuming fewer calories than you burn), but different diets are easier to adhere to for some people than others. If anyone claims their diet works because of any reason other than a caloric deficit, run far far away from that person.","really enjoyed this one. it s always important to remember that all diet are simply different method to adhere to a calorie deficit. the mechanism of weight loss is the same (consuming fewer calorie than you burn), but different diet are easier to adhere to for some people than others. if anyone claim their diet work because of any reason other than a calorie deficit, run far far away from that person.",1685004518.096003,{'POSITIVE': 0.552119791507721},miscellaneous
219,"Very very interesting, loved it!!","very very interesting, loved it!",1685004518.097898,{'POSITIVE': 0.9874022603034973},others
220,I think one of the things that people miss when talking or practicing about IF is your mental health. If you had a history of mental illness or if you're dealing with one IF may cause more harm than good. It turned out to be detrimental to my mental health and it felt I was developing an eating disorder with the cycle of starving and then binge eating. It furthermore fueled my anxiety. So now I am back to 3-4 meals a day at equal intervals throughout the day. It keeps me sane.,i think one of the thing that people miss when talking or practicing about if is your mental health. if you had a history of mental illness or if you are dealing with one if may cause more harm than good. it turned out to be detrimental to my mental health and it felt i wa developing an eating disorder with the cycle of starving and then binge eating. it furthermore fueled my anxiety. so now i am back to 3 4 meal a day at equal interval throughout the day. it keep me sane.,1685004518.104694,{'NEGATIVE': 0.8951903581619263},miscellaneous
221,"Ja schudłem na poście przerywanym 26 kg, ale zacząłem liczyć kalorie, więcej się ruszać i dbać o to, co jem. Najdłuższy post, jaki miałem, to 38 h. Zadziała wtedy, gdy połączysz zdrowe nawyki. Samo niejedzenie nie pomaga.","ja sched them na po cie przerywanym 26 kg, ale zach them lucky calorie, wi ce si usa i dba o to, co jem. nad you szy post, aki mia them, to 38 h. zambia a study, mdy po czy drove nowiki. same niejedzenie nie omega.",1685004518.106596,{'NEUTRAL': 0.8520064353942871},miscellaneous
222,"I have fasted on and off for about two years now and recently decided to commit to it fully. I have more energy in the morning which is important to me, and overall I feel healthier. I don’t do it for weight loss but still it’s magnificent","i have lasted on and off for about two year now and recently decided to commit to it fully. i have more energy in the morning which is important to me, and overall i feel healthier. i don t do it for weight loss but still it s magnificent",1685004518.108455,{'POSITIVE': 0.8623597621917725},miscellaneous
223,"Sekalian masuk Islam pak mat, setahun sekali infermittent fasting hehe","sekalian mask islam pak mat, setahun seal intermittent fasting here",1685004518.120209,{'NEUTRAL': 0.8934510946273804},miscellaneous
224,2 years ago I did this for half a year. In this time I lost around 10kg. Water was my salvation. I was drinking around 4 litres of water daily.,2 year ago i did this for half a year. in this time i lost around 10kg. water wa my salvation. i wa drinking around 4 litre of water daily.,1685004518.121955,{'NEUTRAL': 0.5872907638549805},miscellaneous
225,"I love your videos.
Most other channels just lists the things that might or might not help and who knows they even try it. You try everything by yourself and then make a amazing video on it. 

Hats off !! Keep these coming.",i love your videos. most other channel just list the thing that might or might not help and who know they even try it. you try everything by yourself and then make a amazing video on it. hat off ! keep these coming.,1685004518.132686,{'POSITIVE': 0.903421938419342},miscellaneous
226,Well you should eat healthy no matter how long you fast.,well you should eat healthy no matter how long you fast.,1685004518.134485,{'NEUTRAL': 0.5112519264221191},miscellaneous
227,As a Muslim i am following this routine for  past 14 years ! i use to fast about 29-30-day in every year for 18 hours! and this is highly productive and has tons of benefits -health and spiritually  both!,a a muslim i am following this routine for past 14 year ! i use to fast about 29 30 day in every year for 18 hours! and this is highly productive and ha ton of benefit health and spiritually both!,1685004518.136257,{'POSITIVE': 0.9213833808898926},miscellaneous
228,I would not have guessed you were nearly 30% body fat,i would not have guessed you were nearly 30% body fat,1685004518.1472,{'NEGATIVE': 0.6478834748268127},miscellaneous
229,"Intermittent fasting involves restricting your food intake based on a non-internal cue, time. It absolutely is a diet.","intermittent fasting involves restricting your food intake based on a non internal cue, time. it absolutely is a diet.",1685004518.149013,{'NEUTRAL': 0.6790463924407959},miscellaneous
230,Also great video as always!,also great video a always!,1685004518.361313,{'POSITIVE': 0.9763107299804688},others
231,Facts!,facts!,1685090918.530672,{'POSITIVE': 0.5308772325515747},others
232,14 hours in indonesia,14 hour in indonesia,1685177318.723744,{'NEUTRAL': 0.8577728271484375},miscellaneous
233,"islamic fasting is not good, people who don't drink enough water every day are at greater risk of kidney stones, problems with their heart valves, fatique and some kinds of cancer. Even minor dehydration can affect physical and mental performance, the body requires a lot of water to maintain an internal temperature balance, keep cells alive, producing hormones and other human fluids.","islamic fasting is not good, people who do not drink enough water every day are at greater risk of kidney stones, problem with their heart valves, fatigue and some kind of cancer. even minor dehydration can affect physical and mental performance, the body requires a lot of water to maintain an internal temperature balance, keep cell alive, producing hormone and other human fluids.",1685177318.724977,{'NEGATIVE': 0.933628261089325},miscellaneous
234,It has no spiritual benefits.,it ha no spiritual benefits.,1685177318.726138,{'NEUTRAL': 0.6572746634483337},miscellaneous
235,"​ @Yamiteru  to u it may not, but to us, it is.","amateur to you it may not, but to us, it is.",1685177318.727236,{'NEUTRAL': 0.773176372051239},miscellaneous
236,In saudi it’s 16 hours,in saudi it s 16 hour,1685350118.728314,{'NEUTRAL': 0.8566709756851196},miscellaneous
237,"I did 18:6 for about a month and I also had the struggle of making sure I started cooking at a reasonable time, with the goal of getting 2 meals within that window. Didn't go exactly as planned, but with that and doing carnivore I lost 10lbs in my first 10 days even with lots of water and electrolytes. I'm going to start over next month feeling more prepared.","i did for about a month and i also had the struggle of making sure i started cooking at a reasonable time, with the goal of getting 2 meal within that window. did not go exactly a planned, but with that and doing carnivore i lost 10lbs in my first 10 day even with lot of water and electrolyte. i am going to start over next month feeling more prepared.",1685004519.4157,{'POSITIVE': 0.653598427772522},miscellaneous
